38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Sayuran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bawang Merah (Ton),,Bawang Putih (Ton),,Bawang Daun (Ton),,Kentang (Ton),,Kubis (Ton),,Kembang Kol (Ton),,Petsai/Sawi (Ton),,Wortel (Ton),,Lobak (Ton),,Kacang Merah (Ton),,Kacang Panjang (Ton),,Cabai Besar (Ton),,Cabai Rawit (Ton),,Tomat (Ton),,Terung (Ton),,Buncis (Ton),,Ketimun (Ton),,Labu Siam (Ton),,Kangkung (Ton),,Bayam (Ton),,Melinjo (Ton),,Paprika (Ton),,Jamur (Kg),,Petai (Ton),,Jengkol (Ton),
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
ACEH,10136,10070,30,10,1280,1447,15997,14294,4225,6294,605,630,3206,3149,389,220,-,-,-,-,12558,12189,58382,98085,51686,65308,11706,8846,11598,8819,585,496,12936,13702,14830,1569,7307,7481,4312,4121,20669,20346,-,0,82,15,1433,1630,6539,7037
SUMATERA UTARA,53962,64835,805,21,15632,18052,159014,148872,233761,236611,59100,57340,74908,74370,141446,151970,-,-,-,-,28386,26333,210220,211747,78663,87012,203162,183015,51320,57114,49856,46858,22975,25030,14047,16321,23071,23002,17980,16797,4878,5271,-,40,304,235,26951,28874,8463,8765
SUMATERA BARAT,200366,207376,1839,791,44149,53061,15201,23974,174387,163982,16080,11386,35283,47363,25457,25312,-,-,-,-,24961,15433,115766,123504,35118,26656,97271,118635,107268,86159,41738,37624,29201,18193,32046,21718,10722,10236,7125,6711,8528,10889,-,0,203,53,30786,32354,26157,22263
RIAU,329,195,-,0,1,29,-,0,-,1,-,13,1673,2249,-,5,-,-,-,-,9163,8962,14097,13105,6694,7429,151,203,10168,9195,8,34,16808,15547,577,426,10646,12498,8378,10586,1767,1454,-,3,847,262,2309,1964,6572,6220
JAMBI,13264,16050,132,13,4436,5472,129336,184721,51461,84319,1724,4396,12219,25501,6754,10924,-,-,-,-,7474,8169,59855,98159,11526,12429,23890,48008,14819,16383,4285,5598,5776,5439,11215,13140,4190,5316,3761,4297,2619,2342,90,30,97,91,4514,3659,11043,7553
SUMATERA SELATAN,1125,1130,36,467,3099,3356,524,565,4151,3842,339,549,4055,4619,2359,1898,-,-,-,-,10568,9887,23556,25497,11562,9461,8836,9054,13441,13737,3537,3452,12488,11833,3145,3233,7275,7873,3973,3774,2353,1552,-,20,703,185,7363,4551,10850,6895
BENGKULU,990,1023,252,285,18429,18806,3573,3903,76689,77414,12690,13264,35634,36370,42366,42305,-,-,-,-,6358,8376,48778,58769,16278,21427,30868,39709,80660,89343,29803,35018,14522,18541,15738,17141,2693,3324,721,676,2960,1917,-,0,2748,4125,1517,3078,4190,9308
LAMPUNG,1762,1727,112,3,3964,3630,179,195,6073,6823,833,462,10180,11046,5579,6229,-,-,-,-,15652,13528,34550,29635,10921,11193,15934,16190,21523,18288,4454,4228,12491,11241,2647,3507,13933,13364,8362,7844,17224,14508,-,0,4817,1602,18033,14101,17858,13403
KEP. BANGKA BELITUNG,208,79,-,0,198,263,-,0,8,0,-,0,1654,1377,-,0,-,-,-,-,2783,2827,5059,6056,3954,3710,1147,1926,3801,3618,516,488,5184,4781,339,3,2461,1775,1116,1191,301,325,-,0,33,16,872,932,527,418
KEP. RIAU,33,41,-,0,246,248,-,0,10,3,-,0,1495,2073,-,0,-,-,-,-,3954,4686,2967,3555,1627,1773,425,88,463,551,255,126,3062,4421,-,2,3441,3795,2561,2986,153,72,-,0,147,136,491,663,529,735
DKI JAKARTA,2,1,-,0,-,0,-,0,6,6,7,5,2684,2176,-,0,-,-,-,-,-,0,-,0,1,0,-,0,15,1,-,0,-,0,-,0,5344,4727,3469,3278,185,170,-,0,-,0,53,17,-,0
JAWA BARAT,170650,193318,963,417,167008,157968,240482,272074,231871,236368,26326,35700,188944,173537,135117,128091,-,-,-,-,83112,81661,343067,357695,137456,149053,292309,272961,99958,104204,86093,92165,148272,135520,106410,102821,67178,59600,34491,33804,58894,43516,4373,3066,23417,20179,81238,95585,18336,19854
JAWA TENGAH,564255,556510,25545,21620,130556,125594,277725,278717,226695,224545,39359,37354,109294,120680,153026,136499,-,-,-,-,30142,23757,169282,186722,179287,242303,77297,80577,47511,52833,27560,24270,28270,24602,114872,112615,29284,31674,10442,11321,65905,65252,83,77,12005,11479,108378,127143,13375,14948
DI YOGYAKARTA,29809,22307,-,0,96,19,29,0,1,0,189,149,4136,4713,-,0,-,-,-,-,2363,2889,38378,35384,15933,15198,949,884,2718,2893,322,193,1428,1249,64,126,5791,4112,2038,2128,17898,18826,-,0,1104,1199,5582,6164,313,324
JAWA TIMUR,500992,478393,4220,855,98008,109723,324338,385124,193026,210454,38134,21265,82613,82994,91666,89664,-,-,-,-,38070,34942,127429,116175,578883,646740,93121,102099,90519,102540,28596,28276,53570,54395,48127,32876,38480,38223,13766,13507,31750,20010,7781,17517,41583,17449,71681,92763,1796,1152
BANTEN,1190,1372,1,0,258,319,4,5,51,23,87,7,6786,6828,216,181,-,-,-,-,14372,15383,6406,6763,3993,3910,1190,1895,5387,5458,55,110,17858,15851,33,91,12388,9217,8972,7339,47680,50048,-,0,329,294,10657,13470,8605,14074
BALI,23215,31492,1040,689,1055,774,114,66,38992,33730,1820,1607,24519,22373,1780,1831,-,-,-,-,5957,4724,11747,6630,29175,28318,12172,6004,1560,1193,7036,7724,7835,4685,70119,67368,5920,5258,943,808,356,323,85,87,68,421,3,15,-,0
NUSA TENGGARA BARAT,222620,201155,9223,4761,2103,2218,2036,2877,13064,9791,923,1932,3628,2675,5053,4878,-,-,-,-,10038,11700,16086,21659,62539,50078,28514,40742,8094,16949,2324,6692,3483,6874,1347,1852,4642,7551,826,712,1189,783,-,55,1015,3198,53,52,6,1
NUSA TENGGARA TIMUR,11430,7584,579,483,2137,1855,410,334,3418,3009,759,963,13376,12157,3377,3523,-,-,-,-,6817,6342,3218,3683,9076,19881,10605,9215,14471,16623,4448,3606,6200,5305,15884,23777,14483,14824,5155,5453,125,68,150,38,2,0,448,388,-,0
KALIMANTAN BARAT,104,44,-,0,1009,749,-,0,28,0,23,10,5118,4278,5,0,-,-,-,-,7222,7357,2791,3324,6332,6193,4108,3136,7254,7137,1835,1113,10933,9124,262,1494,4762,5232,2701,3171,1272,1075,1,0,75,19,4844,5263,10224,11651
KALIMANTAN TENGAH,34,112,-,0,1954,1387,-,0,28,21,94,101,2839,2046,-,0,-,-,-,-,6962,4364,1711,1290,6961,5419,3505,2425,6467,4983,2927,1737,7816,5367,95,94,2788,2089,1578,1472,1355,1192,-,0,264,215,2175,1608,3015,2726
KALIMANTAN SELATAN,389,246,-,0,808,765,-,0,11,0,48,70,1441,1220,-,0,-,-,-,-,4749,4317,8977,8417,11758,11764,5067,4303,5225,4958,1958,2113,4905,4291,-,0,1638,1436,1673,1307,872,526,-,0,258,350,3294,3799,963,2016
KALIMANTAN TIMUR,72,114,-,0,426,479,-,0,4,2,120,125,6915,8493,-,0,-,-,-,-,9691,9476,5916,5732,8367,7778,9101,8841,10810,12270,5239,5546,12248,11911,119,324,12331,11026,5334,4930,1521,546,42,0,55,167,936,936,716,949
